Ingredient,Source_ID,Condition,Extracted_Type,Min,Max,Unit,Freq,Raw_Text_Snippet,Full_Instructions
18-b-glycyrrhetic acid,36919,General,WHO DDD (Arabic),2.5,2.5,g,Daily,الجرعة اليومية المحددة (WHO DDD): 2.5 g,الجرعة اليومية المحددة (WHO DDD): 2.5 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
18-b-glycyrrhetic acid,2287979,dosage_and_administration,FAILED,,,,,No Match Found,DOSAGE AND ADMINISTRATION Apply to the affected areas and rub in thoroughly. Use twice daily or as d...
18-b-glycyrrhetic acid,44647,General,WHO DDD (Arabic),2.5,2.5,g,Daily,الجرعة اليومية المحددة (WHO DDD): 2.5 g,الجرعة اليومية المحددة (WHO DDD): 2.5 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
18-b-glycyrrhetic acid,949532,dosage_and_administration,FAILED,,,,,No Match Found,for external use only...
18-b-glycyrrhetic acid,2287995,dosage_and_administration,FAILED,,,,,No Match Found,DOSAGE AND ADMINISTRATION Apply to the affected areas and rub in thoroughly. Use twice daily or as d...
180 mg vitamin c,30748,General,WHO DDD (Arabic),0.2,0.2,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.2 g,الجرعة اليومية المحددة (WHO DDD): 0.2 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
19 vitamins,50097,General,FAILED,,,,,No Match Found,مكمل غذائى يوفر الفيتامينات والمعادن الازمة اثناء الحمل...
19 vitamins and minerals,26690,General,FAILED,,,,,No Match Found,See package insert...
1cap,46600,General,FAILED,,,,,No Match Found,See package insert...
1ml,32379,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
1ml,437305,dosage_and_administration,FAILED,,,,,No Match Found,2 DOSAGE AND ADMINISTRATION Pharmacy Bulk Package. Not for direct intravenous infusion . ( 2.1 ) See...
1ml,437306,instructions_for_use,FAILED,,,,,No Match Found,"3 DOSAGE FORMS AND STRENGTHS Zinc Sulfate Injection, USP: 10 mg/10 mL (1 mg/mL) of zinc as a clear c..."
1ml,437308,dosage_and_administration,FAILED,,,,,No Match Found,2 DOSAGE AND ADMINISTRATION • Pharmacy Bulk Package. Not for direct intravenous infusion. ( 2.1 ) • ...
1tab,41255,General,FAILED,,,,,No Match Found,See package insert...
2,43269,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
2,429042,indications,Adult/General Single,0.5,0.5,mg,daily,"0.5 mg also provides fluoride for caries prophylaxis. The American Academy of Pediatrics recommend that infants and young children 6 months to 3 years of age, in areas where the drinking water contains less than 0.3 ppm of fluoride, and children 3-6 years of age, in areas where the drinking water contains 0.3 through 0.6 ppm of fluoride, receive 0.5 mg of supplemental fluoride daily","INDICATIONS AND USAGE Supplementation of the diet with vitamins A, C and D. Tri-Vite Drops with Fluo..."
2,429043,dosage_and_administration,Adult/General Single,1.0,1.0,mL,daily,1.0 mL daily,DOSAGE AND ADMINISTRATION 1.0 mL daily or as directed by physician. May be dropped directly into the...
2,1765740,dosage_and_administration,Adult/General Single,2.0,2.0,mg,every 2 hours,"2mg/cm 2 of skin) to all exposed skin 15 minutes before sun exposure, then rub in to reduce whitening effect. Reapply: After 40 minutes of swimming or sweating Immediately after towel drying At least every 2 hours","Directions For full protection, apply liberally (2mg/cm 2 of skin) to all exposed skin 15 minutes be..."
2,42850,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
2.5 mg iron,33041,General,FAILED,,,,,No Match Found,See package insert...
2.8 mg zinc,35616,General,WHO DDD (Arabic),3.0,3.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 3 g,الجرعة اليومية المحددة (WHO DDD): 3 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
20 mg vitamin a),35169,General,FAILED,,,,,No Match Found,See package insert...
200 mcg folic acid,29144,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
200 mg lactoferrin,29144,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
21.5 mg omega 6 (linoleic acid),45058,General,FAILED,,,,,No Match Found,See package insert...
23 mg,35945,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
26 nutrients 13 vitamin a,33168,General,FAILED,,,,,No Match Found,مكمل غذائى لتحسين التمثيل الغذائى ومضاد للاكسدة ويعمل على تحسين الجهاز المناعى ومصدر للطاقة...
27 fruit concentrate,36297,General,FAILED,,,,,No Match Found,فيتامينات متعددة...
27 mg iron,29144,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
2mg copper bisglycinate,45692,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
2qr,36807,General,FAILED,,,,,No Match Found,Standard Dose: 30.0mg. DOSAGE AND ADMINISTRATION Adult Dosage The recommended adult dose is 30 g arg...
2qr,1001485,dosage_and_administration,FAILED,,,,,No Match Found,"Directions For adult use only. Before procedure, apply a small amount of pain relieving cream to aff..."
3,42850,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
3,1752842,indications,Adult/General Single,500.0,500.0,mg,daily,500 mg Huile d'Onagre 500 mg Wheat Gem1 Oil l 00 mg HIM! de Genre de Biel 00 mg Flax Seed Oil l 00 mg Huile de Lin 100 mg Soy Oil 20 mg Huile de Soya 20 mg Borage Oil 80 mg Huile de Bourrache 80 mg Vitomin A 150 IU Vitamine A 150 IU Vitamin Bl 20 mg Vita mine Bl 20 mg Vitamin B6 20 mg Vrlamine B6 20 mg Folic Acid 150 mcg Acide Folique 150 mcg Vitamin C 30 mg Vitamine C 30 mg Vitamin D 150 IU Vitamine D 150 IU Vitamin E 200 IU Vrlamine E 200 IU Niacin 3 mg Niacine 3 mg Magnesium 50 mg Magnesium 50 mg Copper 1 mg Cuivre 1 mg Zinc 10 mg Zinc 10 mg Selenium 20 mcg Selenium 20 mcg 72 Trace Minerals 40 mg 72 Oligoelements 40 mg lemon Bioflavonoids 40 mg Biclb.onoidesde0on40 mg lecithin 100 mg l.ecithine 100 mg ingredient Dosage DermaMed™ Nutrition for Troubled Skin is a daily,"Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
3,1752842,indications,Adult/General Single,1.5,1.5,g,daily,"1.5 g per serving For best results, take 1 capsule twice daily","Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
3,1752843,overdosage,Adult/General Single,500.0,500.0,mg,daily,500 mg Huile d'Onagre 500 mg Wheat Gem1 Oil l 00 mg HIM! de Genre de Biel 00 mg Flax Seed Oil l 00 mg Huile de Lin 100 mg Soy Oil 20 mg Huile de Soya 20 mg Borage Oil 80 mg Huile de Bourrache 80 mg Vitomin A 150 IU Vitamine A 150 IU Vitamin Bl 20 mg Vita mine Bl 20 mg Vitamin B6 20 mg Vrlamine B6 20 mg Folic Acid 150 mcg Acide Folique 150 mcg Vitamin C 30 mg Vitamine C 30 mg Vitamin D 150 IU Vitamine D 150 IU Vitamin E 200 IU Vrlamine E 200 IU Niacin 3 mg Niacine 3 mg Magnesium 50 mg Magnesium 50 mg Copper 1 mg Cuivre 1 mg Zinc 10 mg Zinc 10 mg Selenium 20 mcg Selenium 20 mcg 72 Trace Minerals 40 mg 72 Oligoelements 40 mg lemon Bioflavonoids 40 mg Biclb.onoidesde0on40 mg lecithin 100 mg l.ecithine 100 mg ingredient Dosage DermaMed™ Nutrition for Troubled Skin is a daily,"Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
3,1752843,overdosage,Adult/General Single,1.5,1.5,g,daily,"1.5 g per serving For best results, take 1 capsule twice daily","Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
3,1752844,dosage_and_administration,Adult/General Single,500.0,500.0,mg,daily,500 mg Huile d'Onagre 500 mg Wheat Gem1 Oil l 00 mg HIM! de Genre de Biel 00 mg Flax Seed Oil l 00 mg Huile de Lin 100 mg Soy Oil 20 mg Huile de Soya 20 mg Borage Oil 80 mg Huile de Bourrache 80 mg Vitomin A 150 IU Vitamine A 150 IU Vitamin Bl 20 mg Vita mine Bl 20 mg Vitamin B6 20 mg Vrlamine B6 20 mg Folic Acid 150 mcg Acide Folique 150 mcg Vitamin C 30 mg Vitamine C 30 mg Vitamin D 150 IU Vitamine D 150 IU Vitamin E 200 IU Vrlamine E 200 IU Niacin 3 mg Niacine 3 mg Magnesium 50 mg Magnesium 50 mg Copper 1 mg Cuivre 1 mg Zinc 10 mg Zinc 10 mg Selenium 20 mcg Selenium 20 mcg 72 Trace Minerals 40 mg 72 Oligoelements 40 mg lemon Bioflavonoids 40 mg Biclb.onoidesde0on40 mg lecithin 100 mg l.ecithine 100 mg ingredient Dosage DermaMed™ Nutrition for Troubled Skin is a daily,"Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
3,1752844,dosage_and_administration,Adult/General Single,1.5,1.5,g,daily,"1.5 g per serving For best results, take 1 capsule twice daily","Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
3%,35837,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
30 mg iron ( as ferrous bisglycinate,30748,General,WHO DDD (Arabic),0.2,0.2,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.2 g,الجرعة اليومية المحددة (WHO DDD): 0.2 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
300 mg fungreek seed extract,29025,General,FAILED,,,,,No Match Found,See package insert...
32 active ingredients panthenol,47942,General,WHO DDD (Arabic),0.4,0.4,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 g,الجرعة اليومية المحددة (WHO DDD): 0.4 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
32 active ingredients panthenol,689236,dosage_and_administration,FAILED,,,,,No Match Found,"DOSAGE AND ADMINISTRATION Prior to initiation of CAFCIT (caffeine citrate), baseline serum levels of..."
32 active ingredients panthenol,1389540,dosage_and_administration,FAILED,,,,,No Match Found,Warnings For external use only Flammable Keep away from excessive heat or open flame Do not use With...
32 active ingredients panthenol,1389546,dosage_and_administration,FAILED,,,,,No Match Found,"Directions: For the temporary relief of minor muscular discomfort. See important warnings under ""Whe..."
350 mg vitamin c and 125mcg vitamin d3,34422,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
370 mg sodium,35616,General,WHO DDD (Arabic),3.0,3.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 3 g,الجرعة اليومية المحددة (WHO DDD): 3 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
3g2c peptide complex,25942,General,WHO DDD (Arabic),0.4,0.4,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 g,الجرعة اليومية المحددة (WHO DDD): 0.4 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
3g2c peptide complex,562249,dosage_and_administration,FAILED,,,,,No Match Found,for external use only...
3g2c peptide complex,689210,dosage_and_administration,FAILED,,,,,No Match Found,"DOSAGE AND ADMINISTRATION Prior to initiation of CAFCIT (caffeine citrate), baseline serum levels of..."
4 drops,29113,General,FAILED,,,,,No Match Found,See package insert...
4.5billion cfu of (bb-12® (bifidobacterium animalis subsp. lactis)- la-5® (lactobacillus acidophilus)- lby-27™ (lactobacillus delbrueckii) -sty-31™ (streptococcus thermophilus) ),41855,General,FAILED,,,,,No Match Found,See package insert...
4.5billioncfu bb-12® (bifidobacterium animalis subsp. lactis)-la-5® (lactobacillus acidophilus)-lby-27™ (lactobacillus delbrueckii)-sty-31™ (streptococcus thermophilus),48256,General,FAILED,,,,,No Match Found,See package insert...
40 mg l-ascorbic acid,48804,General,WHO DDD (Arabic),50.0,50.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 50 g,الجرعة اليومية المحددة (WHO DDD): 50 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
40 mg zinc,34422,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
400 iu vit d 20 mg dha & 2 mg vit e,29113,General,FAILED,,,,,No Match Found,See package insert...
400 mcg folic acid,30748,General,WHO DDD (Arabic),0.2,0.2,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.2 g,الجرعة اليومية المحددة (WHO DDD): 0.2 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
43.5 mg omega 3 (ala),45058,General,FAILED,,,,,No Match Found,See package insert...
440 mg chloride,35616,General,WHO DDD (Arabic),3.0,3.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 3 g,الجرعة اليومية المحددة (WHO DDD): 3 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
5 drops,49348,General,FAILED,,,,,No Match Found,See package insert...
5 methyltetrahydrofolic acid,28239,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
5 ml,48687,General,WHO DDD (Arabic),3.0,3.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 3 g,الجرعة اليومية المحددة (WHO DDD): 3 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
5 ml,29836,General,FAILED,,,,,No Match Found,See package insert...
5 ml,47066,General,WHO DDD (Arabic),3.0,3.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 3 g,الجرعة اليومية المحددة (WHO DDD): 3 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
5 ml,29669,General,FAILED,,,,,No Match Found,See package insert...
5% panthenol 3% pathogenic acid vit e ceramide zinc oxide,41933,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
5-methyl tetrahydrofolate,27720,General,FAILED,,,,,No Match Found,See package insert...
5-methyl tetrahydrofolate,44091,General,FAILED,,,,,No Match Found,See package insert...
5-methyltetrahydrofolate,35184,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
5-methyltetrahydrofolate,433531,dosage_and_administration,FAILED,,,,,No Match Found,2 DOSAGE AND ADMINISTRATION Pharmacy Bulk Package. Not for direct intravenous infusion . ( 2.1 ) See...
5-methyltetrahydrofolate,433532,instructions_for_use,FAILED,,,,,No Match Found,"3 DOSAGE FORMS AND STRENGTHS Zinc Sulfate Injection, USP: 10 mg/10 mL (1 mg/mL) of zinc as a clear c..."
5-methyltetrahydrofolate,433534,dosage_and_administration,FAILED,,,,,No Match Found,2 DOSAGE AND ADMINISTRATION • Pharmacy Bulk Package. Not for direct intravenous infusion. ( 2.1 ) • ...
50 mg,48687,General,WHO DDD (Arabic),3.0,3.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 3 g,الجرعة اليومية المحددة (WHO DDD): 3 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
50 mg caraway seed extract,29025,General,FAILED,,,,,No Match Found,See package insert...
50 mg dill seed hydrosol,29025,General,FAILED,,,,,No Match Found,See package insert...
50 mg fennel seed extract,29025,General,FAILED,,,,,No Match Found,See package insert...
50 mg thyme leaf extract,29025,General,FAILED,,,,,No Match Found,See package insert...
50 mg zn,29144,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
500mcg vit b12,27791,General,FAILED,,,,,No Match Found,See package insert...
50mg anise extract,27671,General,FAILED,,,,,No Match Found,See package insert...
50mg fennel extract,27671,General,FAILED,,,,,No Match Found,See package insert...
50mg vit b5,27791,General,FAILED,,,,,No Match Found,See package insert...
5mg vitamin b6,45692,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
5ml,42949,General,FAILED,,,,,No Match Found,See package insert...
5ml,40124,General,FAILED,,,,,No Match Found,See package insert...
5ml,29840,General,FAILED,,,,,No Match Found,See package insert...
5ml (epa & dha ),32511,General,FAILED,,,,,No Match Found,See package insert...
